,movie_id,Label,overview
0,862,Superhit,lead woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid lose place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learn put aside difference
1,8844,Superhit,sibling judy peter discover enchant board game open door magical world unwittingly invite alan adult trap inside game year live room alan hope freedom finish game prove risky three find run giant rhinoceros evil monkey terrify creature
2,31357,Above Average,cheat mistreat stepped woman hold breath wait elusive good man break string less stellar lover friends confidant vannah bernie glo robin talk determine find good way breathe
3,11862,Above Average,george bank recover daughter wed receives news pregnant george wife nina expect plan sell home plan like george change arrival grandchild kid
4,949,Hit,obsessive master thief neil mccauley lead top notch crew various insane heist throughout los angeles mentally unstable detective vincent hanna pursues without rest man recognize respect ability dedication even though aware cat mouse game may end violence
5,9091,Above Average,international action superstar jean claude van damme team power boothe tension pack suspense thriller set back drop stanley cup game van damme portray father whose daughter suddenly take championship hockey game captor demand billion dollar game end van damme frantically set plan motion rescue daughter abort impend explosion final buzzer
6,710,Superhit,james bond must unmask mysterious head janus syndicate prevent leader utilize goldeneye weapon system inflict devastate revenge britain
7,9087,Hit,widow u president andrew shepherd one world powerful men anything want covets sydney ellen wade washington lobbyist shepherd attempt court spark wild rumor decimate approval rating
8,21032,Below Average,outcast half wolf risk life prevent deadly epidemic ravage nome alaska
9,10858,Below Average,star cast power epic look american president richard nixon man carry fate world shoulder battle self destructive demand within span troubled boyhood california shock watergate scandal would end presidency
10,1408,Below Average,morgan adam slave william shaw quest recover three portion treasure map unfortunately final portion hold murderous uncle dawg crew skeptical leadership ability must complete quest mutiny make yet difficult effort british crown end pirate raid
11,524,Hit,life gamble paradise la vegas dark mafia underbelly
12,4584,Hit,rich mr dashwood die leave second wife daughter poor rule inheritance two daughter titular opposite
13,5,Flop,ted bellhop first night job hotel unusual guest place outrageous predicament seem even room service serve one unbelievable happen another
14,9273,Superhit,summon ashram tibet ace find perilous journey jungle africa find shikaka miss sacred animal friendly wachati tribe must accomplish wedding wachati princess prince warrior wachootoos ace fail result vicious tribal war
15,11517,Average,vengeful new york transit cop decide steal trainload subway fare foster brother fellow cop try protect
16,8012,Hit,chili palmer miami mobster get sent bos psychopathic bone barboni collect bad debt harry zimm hollywood producer specialize cheesy horror film chili meet harry lead lady romantic spark fly pitch life story movie idea chili learn mobster hollywood producer really different
17,9691,Average,assassin robert rath arrive funeral kill prominent mobster witness rival hire gun complete job grisly result horrify murder innocent bystander rath decides take one last job return civilian life find way world contract kill grows ever dangerous rath fall female target become marked man
18,451,Average,ben sanderson alcoholic hollywood screenwriter lose everything drinking arrive la vega drink death meet form uneasy friendship non interference pact prostitute serum
19,9263,Below Average,wax nostalgic bittersweet passage childhood puberty tender come age tale four childhood girlfriend teeny chrissy samantha roberta recall magical summer walk memory lane reconcile experience boys secret bully
20,902,Flop,scientist surrealist society kidnap child steal dream hop slow age process
21,9909,Hit,former marine louanne johnson land gig teach pilot program bright underachieve teen notorious inner city high school terrible first day decide must throw decorum wind johnson return classroom arm nonsense attitude inform military training fearless determination well live student matter cost
22,63,Hit,year convict james cole reluctantly volunteer send back time discover origin deadly virus wipe nearly earth population force survivor underground community cole mistakenly send instead arrest locked mental hospital meet psychiatrist dr kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army monkey think responsible unleashing killer disease
23,9598,Superhit,babe little pig quite know place world bunch odd friend like ferdinand duck think rooster fly dog call mom babe realize making become great sheep pig time farmer hogget know help sheep dog babe learns pig anything want
24,687,Average,justice drama base true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution susan sarandon oscar best female actress convince portrayal sister helen prejean
25,34615,Disaster,south african preacher go search wayward son commit crime big city
26,9312,Hit,nine generation evil sorcerer victorious hand hand battle mortal enemy win tenth mortal kombat tournament desolation evil reign multiverse forever save earth three warrior must overcome seemingly insurmountable odds inner demon superhuman foes action adventure movie base one popular video game time
27,577,Below Average,susan want work television therefore anything take even mean kill husband dark comedy independent director gus van sant brilliant nicole kidman lead role
28,11861,Below Average,soon wed graduate student finn dodd develop cold foot suspect fiancé cheat order clear head finn visit grandmother hy great aunt glady joe cleary grasse calif finn learn hy glady joe member group passionate quilters course visit regale tale love life woman collect rich experience much wisdom
29,807,Superhit,two homicide detective desperate hunt serial killer whose crime base seven deadly sin dark haunting film take viewer torture remain one victim next seasoned det sommerset research sin effort get inside killer mind novice partner mill scoff effort unravel case
30,10530,Superhit,history come gloriously life disney epic animate tale love adventure new world pocahontas native american woman whose father arrange marry village best warrior vision tell change come soon come face face form capt john smith
31,629,Below Average,hold l interrogation room verbal kint attempt convince fed mythic crime lord keyser soze exist also responsible draw four partner multi million dollar heist end explosion san pedro harbor leave survivor verbal lure interrogator incredible story crime lord almost supernatural prowess
32,11448,Flop,lenny wife amanda adopt baby lenny realize son genius becomes obsess find boy biological mother hop brilliant learns max mother linda ash kindhearted prostitute porn star lenny determine reform immoral lifestyle greek chorus chime relate plot greek mythology quirky comedy
33,9089,Below Average,lose job make soon ex bos find daughter plan spend thanksgiving boyfriend claudia larson face spending holiday family wonder survive crazy antic
