,movie_id,actor_1_gender,actor_2_gender,actor_1_name,actor_2_name,director_gender,director_name,Unnamed: 0.1,Unnamed: 0,adult,budget,genres,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count
0,862,2,2,Tom Hanks,Tim Allen,2,John Lasseter,0,Animation,False,30000000,Animation,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,Toy Story,7.7,5415.0
1,8844,2,2,Robin Williams,Jonathan Hyde,2,Joe Johnston,1,Adventure,False,65000000,Adventure,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,TriStar Pictures,United States of America,1995-12-15,262797249.0,104.0,English,Jumanji,6.9,2413.0
3,31357,1,1,Whitney Houston,Angela Bassett,2,Forest Whitaker,3,Comedy,False,16000000,Comedy,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,Twentieth Century Fox Film Corporation,United States of America,1995-12-22,81452156.0,127.0,English,Waiting to Exhale,6.1,34.0
4,11862,2,1,Steve Martin,Diane Keaton,2,Charles Shyer,4,Comedy,False,0,Comedy,en,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,Sandollar Productions,United States of America,1995-02-10,76578911.0,106.0,English,Father of the Bride Part II,5.7,173.0
5,949,2,2,Al Pacino,Robert De Niro,2,Michael Mann,5,Action,False,60000000,Action,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,Regency Enterprises,United States of America,1995-12-15,187436818.0,170.0,English,Heat,7.7,1886.0
8,9091,2,2,Jean-Claude Van Damme,Powers Boothe,2,Peter Hyams,8,Action,False,35000000,Action,en,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,Universal Pictures,United States of America,1995-12-22,64350171.0,106.0,English,Sudden Death,5.5,174.0
9,710,2,2,Pierce Brosnan,Sean Bean,2,Martin Campbell,9,Adventure,False,58000000,Adventure,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,United Artists,United Kingdom,1995-11-16,352194034.0,130.0,English,GoldenEye,6.6,1194.0
10,9087,2,1,Michael Douglas,Annette Bening,2,Rob Reiner,10,Comedy,False,62000000,Comedy,en,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",6.318445,Columbia Pictures,United States of America,1995-11-17,107879496.0,106.0,English,The American President,6.5,199.0
12,21032,2,2,Kevin Bacon,Bob Hoskins,2,Simon Wells,12,Family,False,0,Family,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,Universal Pictures,United States of America,1995-12-22,11348324.0,78.0,English,Balto,7.1,423.0
13,10858,2,1,Anthony Hopkins,Joan Allen,2,Oliver Stone,13,History,False,44000000,History,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,Hollywood Pictures,United States of America,1995-12-22,13681765.0,192.0,English,Nixon,7.1,72.0
