,Unnamed: 0.2,movieId,actor_1_gender,actor_2_gender,actor_1_name,actor_2_name,director_gender,director_name,Unnamed: 0.1,Unnamed: 0,adult,budget,genres,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,rating
0,0,862,2,2,Tom Hanks,Tim Allen,2,John Lasseter,0,Animation,False,30000000,Animation,en,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,Toy Story,7.7,5415.0,3.598930481283422
1,1,8844,2,2,Robin Williams,Jonathan Hyde,2,Joe Johnston,1,Adventure,False,65000000,Adventure,en,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,TriStar Pictures,United States of America,1995-12-15,262797249.0,104.0,English,Jumanji,6.9,2413.0,3.760162601626016
2,5,949,2,2,Al Pacino,Robert De Niro,2,Michael Mann,5,Action,False,60000000,Action,en,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,Regency Enterprises,United States of America,1995-12-15,187436818.0,170.0,English,Heat,7.7,1886.0,3.905543710021322
3,9,710,2,2,Pierce Brosnan,Sean Bean,2,Martin Campbell,9,Adventure,False,58000000,Adventure,en,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,United Artists,United Kingdom,1995-11-16,352194034.0,130.0,English,GoldenEye,6.6,1194.0,2.740333586050038
4,14,1408,1,2,Geena Davis,Matthew Modine,2,Renny Harlin,14,Action,False,98000000,Action,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,Le Studio Canal+,France,1995-12-22,10017322.0,119.0,English,Cutthroat Island,5.7,137.0,3.710181451612903
5,15,524,2,1,Robert De Niro,Sharon Stone,2,Martin Scorsese,15,Drama,False,52000000,Drama,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,Universal Pictures,France,1995-11-22,116112375.0,178.0,English,Casino,7.8,1343.0,3.5151697042453347
6,16,4584,1,1,Kate Winslet,Emma Thompson,2,Ang Lee,16,Drama,False,16500000,Drama,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,Columbia Pictures Corporation,United Kingdom,1995-12-13,135000000.0,136.0,English,Sense and Sensibility,7.2,364.0,2.7184115523465704
7,17,5,2,2,Tim Roth,Antonio Banderas,1,Allison Anders,17,Crime,False,4000000,Crime,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,Miramax Films,United States of America,1995-12-09,4300000.0,98.0,English,Four Rooms,6.5,539.0,3.079564818455892
8,20,8012,2,2,John Travolta,Gene Hackman,2,Barry Sonnenfeld,20,Comedy,False,30250000,Comedy,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,Jersey Films,United States of America,1995-10-20,115101622.0,105.0,English,Get Shorty,6.4,305.0,3.842696629213483
9,24,451,2,1,Nicolas Cage,Elisabeth Shue,2,Mike Figgis,24,Drama,False,3600000,Drama,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,United Artists,United States of America,1995-10-27,49800000.0,112.0,English,Leaving Las Vegas,7.1,365.0,3.0541158536585367
