,movieId,overview,rating,Label
0,862,lead woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid lose place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learn put aside difference,3.598930481283422,3 star
1,8844,sibling judy peter discover enchant board game open door magical world unwittingly invite alan adult trap inside game year live room alan hope freedom finish game prove risky three find run giant rhinoceros evil monkey terrify creature,3.760162601626016,3 star
2,949,obsessive master thief neil mccauley lead top notch crew various insane heist throughout los angeles mentally unstable detective vincent hanna pursues without rest man recognize respect ability dedication even though aware cat mouse game may end violence,3.905543710021322,3 star
3,710,james bond must unmask mysterious head janus syndicate prevent leader utilize goldeneye weapon system inflict devastate revenge britain,2.740333586050038,2 star
4,1408,morgan adam slave william shaw quest recover three portion treasure map unfortunately final portion hold murderous uncle dawg crew skeptical leadership ability must complete quest mutiny make yet difficult effort british crown end pirate raid,3.710181451612903,3 star
5,524,life gamble paradise la vegas dark mafia underbelly,3.5151697042453347,3 star
6,4584,rich mr dashwood die leave second wife daughter poor rule inheritance two daughter titular opposite,2.7184115523465704,2 star
7,5,ted bellhop first night job hotel unusual guest place outrageous predicament seem even room service serve one unbelievable happen another,3.079564818455892,3 star
8,8012,chili palmer miami mobster get sent bos psychopathic bone barboni collect bad debt harry zimm hollywood producer specialize cheesy horror film chili meet harry lead lady romantic spark fly pitch life story movie idea chili learn mobster hollywood producer really different,3.842696629213483,3 star
9,451,ben sanderson alcoholic hollywood screenwriter lose everything drinking arrive la vega drink death meet form uneasy friendship non interference pact prostitute serum,3.0541158536585367,3 star
10,902,scientist surrealist society kidnap child steal dream hop slow age process,3.821982549684925,3 star
11,63,year convict james cole reluctantly volunteer send back time discover origin deadly virus wipe nearly earth population force survivor underground community cole mistakenly send instead arrest locked mental hospital meet psychiatrist dr kathryn railly patient jeffrey goines son famous virus expert may hold key mysterious rogue group army monkey think responsible unleashing killer disease,3.114120283899888,3 star
12,687,justice drama base true story man death row last day form strong relationship nun teach forgiveness give spirituality accompanies execution susan sarandon oscar best female actress convince portrayal sister helen prejean,2.9950980392156863,2 star
13,577,susan want work television therefore anything take even mean kill husband dark comedy independent director gus van sant brilliant nicole kidman lead role,2.8165413533834585,2 star
14,807,two homicide detective desperate hunt serial killer whose crime base seven deadly sin dark haunting film take viewer torture remain one victim next seasoned det sommerset research sin effort get inside killer mind novice partner mill scoff effort unravel case,3.278280542986425,3 star
